LOANID,ORIG_CHN,ORIG_RT,ORIG_AMT,ORIG_TRM,OLTV,NUM_BO,DTI,CSCORE_B,FTHB_FLG,PURPOSE,PROP_TYP,NUM_UNIT,OCC_STAT,STATE,VinYr,RELOCATION_FLG,LAST_UPB_LOANAMT_PERCENT1,LAST_UPB_ORIG_VAL_PERCENT,Zero.Bal.Code,MOD_FLAG,FCC_FLC
233741,R,5.375,105000,180,15,2,20,806,N,C,SF,1,P,IL,2008,N,1.048828571,0.157324286,1,N,Not Foreclosed
189390,C,7,275000,360,95,1,63,725,N,P,SF,1,P,CA,2007,N,99.16057455,94.20254582,9,N,Foreclosed
168687,R,5.875,284000,180,80,1,62,642,N,P,SF,1,P,NJ,2007,N,39.7898662,31.83189296,1,N,Not Foreclosed
251632,B,6.125,297000,360,75,1,42,808,Y,P,SF,1,P,NY,2008,N,92.03171044,69.02378283,1,N,Not Foreclosed
71967,R,6.5,364000,360,90,1,49,623,N,P,SF,1,P,CA,2006,N,97.93487363,88.14138627,9,N,Foreclosed
175675,R,6.375,188000,180,73,1,42,640,N,C,SF,1,P,OR,2007,N,100,72.99999999,1,N,Not Foreclosed
26229,B,6,93000,360,75,2,39,718,N,P,CO,1,I,FL,2005,N,94.46777419,70.85083065,3,N,Foreclosed
233891,C,6.625,256000,360,80,1,60,700,N,C,CO,1,P,CA,2008,N,97.714125,78.1713,9,N,Foreclosed
140414,R,6.5,351000,180,70,2,23,787,N,C,PU,1,P,AZ,2006,N,85.25680627,59.67976439,1,N,Not Foreclosed
82638,R,6.5,148000,360,80,2,30,804,N,P,SF,1,P,OH,2006,N,97.99497297,78.39597838,1,N,Not Foreclosed
70418,C,6.5,384000,360,80,2,31,763,N,P,PU,1,S,TX,2006,N,96.29621615,77.03697292,1,N,Not Foreclosed
183227,R,6.25,223000,360,89,2,45,747,N,P,SF,1,P,VA,2007,N,96.37656054,85.77513886,1,N,Not Foreclosed
89617,C,6.25,272000,360,80,2,42,660,N,C,PU,1,P,GA,2006,N,96.91934926,77.53547941,1,N,Not Foreclosed
204989,R,4.875,128000,120,85,2,29,738,N,C,SF,1,P,WY,2008,N,81.66663281,69.41663789,1,N,Not Foreclosed
61977,C,6.875,271000,360,80,1,49,772,Y,P,CO,1,P,IL,2006,N,100,80,1,N,Not Foreclosed
105018,C,6.25,303000,360,70,2,49,763,N,C,SF,1,P,CA,2006,N,96.02431353,67.21701947,3,N,Foreclosed
19108,B,5.875,64000,360,71,1,48,587,N,R,SF,1,P,MO,2005,N,93.889,66.66119,9,N,Foreclosed
242717,B,6.375,404000,360,95,2,19,782,N,P,SF,1,P,CA,2008,N,91.86292327,87.2697771,1,Y,Not Foreclosed
237065,C,5.75,105000,360,80,2,30,770,N,P,SF,1,P,TN,2008,N,96.18018095,76.94414476,1,N,Not Foreclosed
22189,C,5.875,184000,360,94,1,61,668,N,P,SF,1,P,CA,2005,N,94.88536413,89.19224228,2,N,Foreclosed
57693,C,6,355000,360,74,2,38,703,N,R,SF,1,P,CA,2006,N,97.01597183,71.79181916,9,N,Foreclosed
52736,B,6.75,91000,360,73,1,20,640,N,C,SF,1,P,IN,2006,N,89.70073626,65.4815375,1,N,Not Foreclosed
253839,B,6.875,280000,360,80,1,44,778,N,P,PU,1,I,GA,2008,N,99.40168571,79.52134857,1,N,Not Foreclosed
108462,R,5.875,108000,360,76,2,40,687,N,R,SF,1,P,FL,2002,N,83.62724074,63.55670294,9,N,Foreclosed
31086,B,5,132000,180,55,1,44,734,N,C,SF,1,P,FL,2005,N,100,55,1,N,Not Foreclosed
219991,C,5.875,115000,180,32,1,34,609,N,C,SF,1,P,MA,2008,N,90.71326957,29.02824626,1,N,Not Foreclosed
222091,C,5.75,178000,360,76,1,31,776,N,C,SF,1,P,MD,2008,N,94.7667809,72.02275348,1,N,Not Foreclosed
111373,R,7.25,200000,360,56,2,46,601,N,C,SF,1,P,VT,2006,N,97.34924,54.51557441,9,Y,Foreclosed
130023,R,7.375,100000,360,65,1,43,558,N,C,SF,1,P,FL,2006,N,96.4354,62.68301002,9,N,Foreclosed
2675,R,6,150000,360,26,1,36,772,N,C,SF,1,P,CA,2005,N,96.89873333,25.19367067,1,N,Not Foreclosed
146734,C,6.75,300000,360,50,2,60,725,N,C,SF,1,P,NY,2006,N,97.39689333,48.69844667,1,N,Not Foreclosed
29534,C,5.5,228000,240,80,1,39,663,N,C,PU,1,P,NJ,2005,N,91.39295614,73.11436491,1,N,Not Foreclosed
57934,R,6.75,153000,360,38,2,33,802,N,P,PU,1,P,CA,2006,N,86.62177124,32.91627308,1,N,Not Foreclosed
128328,C,6.875,132000,360,33,1,61,749,N,P,PU,1,I,CA,2006,N,98.25835606,32.4252575,1,N,Not Foreclosed
46697,C,6.5,119000,360,70,1,39,647,N,C,SF,1,P,AZ,2006,N,95.51560504,66.86092353,9,N,Foreclosed
5563,C,5.5,205000,360,75,2,35,680,N,R,SF,1,P,NH,2005,N,86.90675122,65.18006341,1,Y,Not Foreclosed
20308,C,5.625,353000,360,80,1,44,703,N,P,PU,1,P,AZ,2005,N,94.71168555,75.76934844,3,N,Foreclosed
43408,C,5.875,319000,360,75,1,34,622,N,C,SF,1,P,NY,2005,N,96.27768966,72.20826724,1,N,Not Foreclosed
233285,C,5.5,286000,360,80,2,44,769,N,R,SF,1,P,CA,2008,N,98.04984615,78.43987692,3,N,Foreclosed
36250,B,5.875,100000,360,80,1,50,778,N,P,SF,1,P,VA,2005,N,94.53228,75.625824,1,N,Not Foreclosed
195954,R,6.125,295000,360,76,2,32,700,Y,P,SF,1,P,CA,2007,N,85.68101695,65.11757288,1,N,Not Foreclosed
181093,C,6.875,132000,360,70,2,22,642,N,C,SF,1,P,FL,2007,N,89.64450758,62.75115529,1,N,Not Foreclosed
217045,C,6.75,225000,360,90,1,23,761,N,P,SF,1,I,MO,2008,N,99.02549333,89.122944,9,N,Foreclosed
125324,B,6.375,217000,360,58,2,22,690,N,P,SF,1,P,AL,2006,N,98.27645161,57.00034194,1,N,Not Foreclosed
3724,R,5.75,227000,360,73,2,38,695,N,C,PU,1,P,VA,2005,N,94.77063436,69.18256308,9,N,Foreclosed
72610,R,6.5,125000,360,73,1,47,565,N,C,SF,1,P,FL,2006,N,97.047312,70.84453777,9,N,Foreclosed
78083,R,6.875,152000,360,73,2,61,727,N,C,SF,1,P,LA,2006,N,95.59474342,69.78416269,1,N,Not Foreclosed
263000,R,6.5,152000,360,80,1,20,809,Y,P,CP,1,P,NY,2008,N,9.845809211,7.876647368,1,N,Not Foreclosed
82940,R,6.5,220000,360,63,1,55,743,N,C,SF,1,P,OH,2006,N,67.98527273,42.83072182,1,N,Not Foreclosed
161382,C,6,172000,360,80,1,33,810,Y,P,SF,1,P,WI,2007,N,97.72376744,78.17901395,1,N,Not Foreclosed
191852,B,6,138000,180,41,1,51,788,N,C,SF,2,P,MA,2007,N,97.20054348,39.85222282,1,N,Not Foreclosed
131290,R,6.5,266000,360,80,2,44,764,N,P,SF,1,P,GA,2006,N,98.04829699,78.43863759,1,N,Not Foreclosed
233079,C,6.875,123000,180,36,2,51,705,N,C,SF,1,I,IL,2008,N,60.52609756,21.78939512,1,N,Not Foreclosed
221969,R,6.125,225000,360,90,2,39,755,N,C,SF,1,P,WV,2008,N,93.04891111,83.74402,1,N,Not Foreclosed
214762,C,5.875,250000,360,80,1,61,738,N,C,SF,1,P,WA,2008,N,101.556916,81.2455328,9,Y,Foreclosed
1547,C,5.375,188000,360,80,1,34,798,Y,P,SF,1,P,SC,2005,N,88.79842021,71.03873617,1,N,Not Foreclosed
204093,C,7,398000,360,90,1,32,722,N,P,SF,1,I,IL,2007,N,98.71036683,88.83933015,9,N,Foreclosed
183172,C,6.5,216000,360,80,1,31,792,N,P,PU,1,P,NV,2007,N,95.96013426,76.76810741,9,N,Foreclosed
175464,R,6.25,155000,360,30,2,53,709,N,C,SF,1,P,CA,2007,N,97.03804516,29.11141355,1,N,Not Foreclosed
33040,B,6.25,66000,360,69,1,43,733,N,P,SF,1,P,PA,2005,N,86.95743939,60.00063318,1,N,Not Foreclosed
235025,C,7.25,417000,360,51,1,24,733,N,C,SF,1,P,CA,2008,N,100,51,1,N,Not Foreclosed
32009,R,6,125000,360,79,1,26,718,N,R,SF,1,P,FL,2005,N,86.657128,68.45913112,9,N,Not Foreclosed
36986,R,5.75,94000,360,27,1,32,791,N,C,PU,1,P,VA,2005,N,93.4078617,25.22012266,1,N,Not Foreclosed
253141,B,5.625,109000,360,78,1,39,739,N,R,CO,1,P,CO,2008,N,87.14188991,67.97067413,1,N,Not Foreclosed
1296,C,5.5,351000,360,80,2,59,694,N,P,SF,1,P,IL,2005,N,98.52755271,78.82204217,3,Y,Foreclosed
158050,R,6.875,182000,360,80,2,49,683,N,R,SF,1,P,WI,2007,N,98.03531868,78.42825495,1,N,Not Foreclosed
136589,R,6.625,79000,360,55,1,31,600,N,C,SF,1,P,FL,2006,N,88.26263291,48.54444811,1,Y,Not Foreclosed
